SiO2,Al2O3,FeO,MgO,CaO,Na2O,K2O,TiO2,Mineral
45.87,8.33,8.58,1.04,7.15,5.69,0.67,1.54,Andesite
63.79,16.21,5.87,8.22,2.9,7.78,1.48,2.93,Marble
44.08,14.95,10.37,12.83,11.69,5.86,2.74,0.28,Amphibolite
33.57,16.42,3.43,9.94,7.68,5.26,1.38,0.9,Amphibole
66.05,5.68,4.34,3.77,3.21,6.74,1.52,2.25,Amphibolite
31.79,10.69,10.81,12.73,3.79,5.77,0.81,2.54,Dolomite
74.51,9.28,8.28,2.52,5.71,6.39,4.46,0.9,Granite
47.64,14.19,2.31,11.09,4.53,2.56,1.66,1.6,Mica
49.84,6.04,6.01,1.46,8.32,4.02,1.18,2.82,Quartz
77.5,19.87,3.69,5.53,9.98,5.01,0.7,0.5,Marble
42.99,21.98,13.3,3.24,4.39,2.83,2.51,2.1,Basalt
41.06,6.23,11.27,4.16,7.98,4.39,3.29,2.63,Mica
68.64,20.92,2.96,7.79,6.66,6.48,4.37,0.65,Syenite
51.14,12.79,13.3,3.79,7.92,5.68,4.28,0.45,Slate
60.57,18.63,3.08,2.84,0.63,3.34,3.16,1.91,Andesite
65.77,22.72,14.32,4.39,11.43,1.25,3.27,1.52,Mica
34.89,13.0,10.4,14.0,4.03,1.18,0.73,1.32,Talc
33.36,6.86,10.29,7.25,11.97,5.43,0.57,0.77,Peridotite
41.61,15.62,1.31,7.21,1.78,6.42,4.57,1.41,Marble
75.83,12.44,4.14,6.93,4.0,1.46,0.61,2.41,Quartz
41.88,21.46,3.7,5.47,6.39,4.7,1.4,0.91,Quartz
62.01,20.86,10.64,8.2,3.1,2.28,0.63,1.42,Feldspar
78.45,9.34,5.09,11.11,5.95,7.16,4.49,0.96,Dolomite
41.65,14.29,7.84,13.21,4.87,1.5,2.68,2.16,Feldspar
67.06,19.3,7.47,2.61,4.61,2.01,4.29,0.41,Chlorite
55.9,10.67,9.03,12.04,3.57,7.59,3.58,1.65,Basalt
70.69,7.31,10.22,7.23,9.54,5.25,3.57,2.94,Pyroxene
56.63,16.45,2.47,11.26,3.02,3.34,2.17,1.98,Syenite
46.34,15.62,13.93,12.37,5.46,2.73,2.53,0.37,Basalt
39.17,8.53,13.01,4.72,2.09,5.45,2.32,0.34,Chlorite
39.68,22.12,8.72,8.04,1.11,1.02,3.06,0.21,Olivine
76.75,15.15,14.99,8.73,0.83,6.93,1.23,1.32,Peridotite
55.99,18.23,1.7,3.47,8.75,5.46,1.13,0.71,Talc
47.53,22.84,9.28,6.63,5.59,6.57,2.23,0.65,Slate
50.6,11.38,8.7,4.86,3.92,6.16,4.71,1.0,Syenite
73.48,15.23,13.28,12.74,5.41,3.04,3.66,2.01,Quartz
46.02,13.64,11.39,7.21,2.49,7.13,2.44,2.68,Granite
47.5,21.03,1.95,8.58,4.98,7.1,2.93,0.92,Amphibole
36.91,10.54,8.93,7.66,4.92,1.83,1.83,2.65,Pyroxene
58.82,24.13,2.59,2.97,6.57,7.03,3.57,0.27,Talc
52.72,21.01,12.92,10.14,7.89,4.11,1.59,1.66,Marble
52.36,9.27,11.73,7.36,4.65,7.59,3.12,0.67,Syenite
62.49,21.75,14.11,3.59,10.64,7.36,3.78,0.83,Quartz
65.09,24.94,13.09,4.19,0.91,1.37,3.14,0.67,Syenite
64.58,14.59,13.05,8.01,6.35,1.72,2.93,1.29,Quartz
66.07,5.6,9.05,1.02,0.7,6.52,4.88,2.17,Chlorite
31.52,18.18,5.82,7.41,7.86,7.29,2.47,0.55,Syenite
31.59,24.25,12.83,7.26,8.72,6.43,1.46,2.07,Feldspar
45.44,12.65,13.32,6.84,4.93,4.32,4.97,0.91,Olivine
35.48,12.11,5.83,3.38,11.21,3.89,1.3,2.92,Rhyolite
41.52,12.5,9.43,13.51,10.87,5.22,3.47,1.78,Talc
54.75,9.97,11.95,13.57,3.5,1.57,4.73,0.5,Rhyolite
30.62,10.93,11.95,4.51,10.41,3.24,3.74,1.68,Amphibole
46.63,14.59,6.45,13.75,7.84,2.73,4.92,1.47,Mica
79.32,17.89,1.38,8.08,1.08,7.59,1.02,2.41,Chlorite
36.51,22.12,4.79,14.88,2.26,4.99,4.81,2.3,Pyroxene
66.11,12.35,2.67,6.27,0.64,1.43,1.52,1.95,Andesite
76.81,6.03,1.02,9.17,3.97,3.02,4.38,0.48,Olivine
38.87,19.29,11.1,4.61,9.43,5.02,4.4,2.64,Slate
43.72,13.75,1.86,8.4,11.34,1.69,2.3,0.96,Syenite
57.55,15.38,5.36,4.76,2.45,3.54,2.31,1.39,Talc
62.85,24.75,8.91,7.68,7.78,7.37,4.78,2.27,Olivine
30.27,7.03,10.83,6.49,10.58,1.48,4.56,1.52,Amphibole
35.82,5.03,3.35,7.79,2.18,4.76,3.06,0.42,Dolomite
54.52,24.09,14.08,14.71,10.31,4.28,0.81,0.86,Rhyolite
76.47,6.82,13.57,7.43,1.76,4.85,0.55,1.04,Gabbro
42.46,8.32,4.35,14.32,9.69,4.91,2.88,2.48,Serpentine
46.9,21.43,6.11,12.05,11.11,1.56,0.92,2.27,Marble
78.51,8.77,1.34,10.58,4.3,2.55,3.0,0.7,Basalt
76.75,20.78,3.93,11.59,1.3,3.82,1.34,2.28,Gabbro
77.78,15.08,8.04,4.34,2.31,1.62,1.75,1.7,Amphibolite
78.62,10.93,9.31,4.64,4.73,6.67,2.64,2.95,Peridotite
50.21,11.0,4.78,10.92,0.56,1.17,3.61,2.07,Serpentine
41.27,17.68,4.45,10.42,7.95,3.77,2.46,1.72,Basalt
68.83,13.07,2.99,12.48,11.78,2.13,2.38,2.69,Talc
45.77,18.36,11.16,3.43,0.85,7.64,0.55,2.67,Peridotite
45.93,15.55,6.66,14.22,10.17,3.19,3.64,2.41,Chlorite
40.14,20.28,3.42,3.98,9.41,6.72,4.94,1.88,Mica
44.53,18.92,4.85,10.63,8.5,4.61,4.54,2.14,Serpentine
59.74,18.55,12.53,3.67,4.69,1.37,0.93,1.28,Slate
78.2,18.86,6.76,6.19,4.59,7.07,0.86,2.24,Basalt
75.84,18.84,6.05,9.68,8.36,2.5,3.14,1.43,Pyroxene
39.66,17.92,3.22,7.94,8.11,2.87,4.7,1.41,Quartz
59.81,23.43,11.58,1.33,1.75,3.94,0.76,1.25,Rhyolite
75.5,8.57,3.04,10.5,8.73,7.46,0.88,1.83,Slate
53.38,15.28,11.95,5.42,0.63,1.48,4.17,2.51,Quartz
55.78,8.43,9.33,13.1,7.97,7.54,0.53,0.97,Pyroxene
78.24,12.63,6.38,6.63,0.54,4.94,3.09,2.19,Dolomite
61.15,12.6,4.87,10.5,7.27,4.03,1.22,2.53,Chlorite
57.63,11.83,2.3,3.6,0.91,1.88,4.35,1.51,Dolomite
49.68,9.55,2.15,10.97,11.54,7.09,3.05,0.81,Quartz
79.74,17.18,7.05,3.88,7.89,3.93,1.8,1.29,Dolomite
48.57,8.2,4.89,3.03,0.93,5.47,2.02,1.3,Syenite
68.18,13.01,13.13,8.47,1.61,1.35,2.6,2.34,Amphibolite
41.96,12.92,8.04,1.72,11.13,5.09,3.31,1.92,Mica
49.03,11.75,3.76,8.96,7.2,4.18,3.87,0.38,Granite
78.66,19.61,8.54,1.95,9.18,2.41,3.9,2.97,Granite
60.31,5.03,6.71,10.43,2.71,3.55,4.29,1.05,Syenite
51.16,11.18,6.64,9.7,9.74,2.89,1.15,1.95,Gabbro
32.02,5.18,14.91,9.05,7.09,5.45,3.83,2.92,Mica
79.66,14.73,4.48,9.01,9.05,5.08,4.9,0.35,Granite
44.98,14.01,9.24,10.35,10.47,2.42,2.75,0.22,Dolomite
64.98,10.68,12.52,7.98,7.57,5.52,2.17,0.37,Serpentine
78.58,18.25,1.08,7.51,1.83,2.55,1.41,1.31,Slate
41.83,9.46,7.01,12.45,10.58,2.91,4.38,1.12,Peridotite
45.88,23.03,7.47,14.22,8.22,6.76,2.28,2.84,Andesite
43.22,16.86,4.72,14.52,7.98,6.72,2.32,2.14,Feldspar
62.9,7.17,4.9,2.29,5.2,1.31,3.0,2.27,Mica
78.89,24.84,12.43,4.11,10.26,7.43,4.6,0.64,Amphibolite
78.45,11.72,14.63,11.41,10.72,0.91,3.25,2.13,Amphibolite
31.6,5.86,9.68,7.12,8.86,5.0,4.11,0.86,Amphibolite
67.11,15.26,11.71,3.65,6.97,4.57,3.95,2.4,Talc
69.57,23.41,9.9,9.11,9.77,2.74,1.11,2.68,Marble
78.18,21.77,3.72,14.39,7.2,4.82,0.94,1.56,Slate
53.75,8.39,6.14,6.28,1.29,7.08,2.6,0.68,Feldspar
58.71,8.73,11.5,6.5,5.27,6.13,2.31,2.6,Amphibole
64.64,21.68,12.4,12.02,2.31,3.9,3.3,2.07,Marble
30.36,5.02,3.15,3.22,1.59,5.81,4.39,2.35,Olivine
39.92,21.9,14.02,5.52,10.89,2.8,1.72,1.05,Amphibole
46.46,11.1,4.55,12.71,4.22,7.97,1.61,2.9,Pyroxene
50.96,7.5,10.16,3.97,10.88,6.87,1.39,1.01,Peridotite
43.26,14.75,9.56,1.64,3.67,3.93,2.45,0.33,Granite
45.26,22.02,11.26,7.57,2.52,6.76,4.21,2.13,Talc
45.69,16.36,4.3,11.42,3.99,1.31,2.81,0.84,Olivine
72.78,16.47,8.05,1.93,7.9,2.53,1.49,0.65,Quartz
36.08,7.97,3.69,13.74,2.64,4.35,1.44,1.8,Andesite
69.39,16.29,10.39,10.45,4.04,3.45,0.63,0.46,Slate
43.68,12.7,3.45,7.28,4.98,3.28,1.32,0.99,Talc
60.0,8.55,11.27,5.26,1.42,5.57,3.45,2.47,Chlorite
39.31,5.52,13.41,4.44,7.05,7.49,1.88,0.79,Andesite
42.47,19.76,5.6,4.96,1.62,5.54,3.02,1.51,Syenite
61.82,11.2,12.11,13.78,6.3,4.35,1.31,1.08,Dolomite
43.14,20.72,9.19,9.49,10.25,6.09,1.8,1.38,Rhyolite
47.72,21.1,11.3,9.56,11.19,7.14,4.5,1.54,Amphibole
55.78,5.99,12.81,12.73,9.13,4.5,3.83,2.21,Basalt
45.53,8.86,3.15,12.86,6.66,7.33,1.06,2.18,Quartz
33.62,22.57,7.97,1.51,5.97,5.79,2.85,0.87,Basalt
64.48,13.91,14.28,11.53,4.32,5.98,2.62,0.7,Dolomite
56.66,9.45,3.71,3.62,0.53,1.03,1.48,0.89,Rhyolite
79.47,13.47,7.58,12.12,10.59,5.76,4.75,0.73,Gabbro
40.06,17.23,10.43,1.31,11.71,3.31,0.82,1.55,Serpentine
66.2,24.7,14.97,2.71,4.07,0.81,4.99,2.95,Gabbro
75.3,22.22,1.11,6.23,11.05,1.92,3.39,1.78,Quartz
66.88,6.59,13.1,14.8,10.47,5.01,2.19,0.92,Gabbro
74.08,12.44,7.83,5.25,7.94,3.31,3.65,2.4,Dolomite
77.48,16.67,9.27,10.01,9.51,2.34,4.94,2.28,Gabbro
36.39,7.32,11.09,3.27,0.84,1.07,1.36,0.27,Syenite
45.29,19.23,9.57,14.16,6.04,7.42,2.74,2.88,Slate
63.55,14.27,7.89,6.78,8.53,0.82,1.09,1.8,Syenite
35.38,18.24,12.4,5.26,2.1,1.55,0.95,1.06,Mica
72.43,15.62,3.95,6.06,10.69,0.51,1.44,0.58,Olivine
35.74,17.61,12.47,6.22,1.2,7.13,1.22,2.47,Serpentine
42.97,5.35,3.3,7.12,5.65,2.84,3.28,2.66,Amphibolite
40.72,13.77,3.61,1.85,10.86,7.37,3.15,2.62,Gabbro
69.47,24.94,10.18,14.37,4.62,0.61,0.75,2.74,Rhyolite
76.78,5.47,2.06,13.76,10.25,3.0,4.8,2.46,Mica
34.7,9.83,7.16,8.75,10.79,3.86,3.46,2.83,Serpentine
50.95,8.86,3.69,12.98,11.12,1.39,3.74,0.61,Quartz
31.88,7.26,5.75,5.51,8.14,5.66,4.48,0.8,Serpentine
49.75,7.75,7.06,7.76,0.52,1.26,3.58,1.44,Amphibolite
54.7,22.88,3.86,9.65,5.4,3.17,0.77,1.21,Peridotite
69.29,23.36,9.4,4.01,10.09,6.34,3.5,2.01,Slate
56.17,14.11,8.71,7.15,2.28,2.2,1.53,2.71,Basalt
56.09,12.78,5.39,13.57,9.16,2.29,0.67,1.69,Quartz
63.69,24.72,11.18,4.32,3.76,1.49,4.24,2.17,Serpentine
38.74,24.57,12.51,2.58,10.55,4.51,2.98,0.47,Quartz
69.16,17.44,14.5,8.66,8.67,5.71,2.34,2.36,Dolomite
59.46,19.71,12.98,8.4,10.36,5.93,1.17,0.24,Talc
43.46,16.73,11.85,13.66,5.62,1.63,4.28,1.01,Feldspar
40.9,15.74,2.8,4.22,2.49,5.06,2.56,1.88,Amphibole
44.75,13.17,8.84,6.59,7.68,0.51,0.71,0.44,Marble
40.34,10.32,6.23,11.83,3.8,1.2,4.19,1.7,Gabbro
48.57,22.0,4.7,9.09,10.38,6.94,3.02,2.41,Peridotite
58.02,14.49,14.41,8.45,8.11,7.14,3.0,2.23,Slate
32.01,17.35,13.12,4.42,7.19,6.4,0.97,0.6,Peridotite
68.9,8.89,10.23,1.16,3.03,5.08,1.44,2.59,Feldspar
72.3,13.6,4.44,6.18,9.41,1.66,0.67,2.91,Marble
57.52,9.97,10.37,11.82,1.38,3.31,2.44,3.0,Quartz
46.72,7.96,3.59,1.23,6.48,5.68,2.97,1.75,Amphibolite
49.04,21.68,5.96,4.7,10.74,4.0,4.36,1.32,Peridotite
74.58,24.82,12.9,5.09,2.31,4.73,2.93,0.69,Basalt
58.21,14.06,8.27,5.39,7.16,6.16,3.76,1.76,Andesite
57.57,6.18,12.54,11.2,3.11,5.08,4.23,1.57,Peridotite
34.44,23.37,13.64,9.07,8.55,5.57,4.33,1.06,Talc
34.3,20.39,13.11,1.46,8.47,4.56,2.48,1.25,Slate
58.06,20.75,13.16,2.83,5.67,0.96,0.65,2.27,Peridotite
50.68,8.21,13.35,2.55,11.29,5.2,4.81,1.14,Pyroxene
73.45,16.17,11.06,9.96,3.48,5.66,1.31,0.29,Talc
53.0,13.89,7.24,5.32,1.11,7.49,4.11,2.87,Syenite
61.83,24.77,9.07,7.2,2.23,4.62,3.45,2.04,Chlorite
69.71,12.34,5.27,9.39,11.73,4.01,3.26,2.53,Feldspar
35.09,8.26,7.0,9.61,7.5,7.51,2.87,1.23,Granite
48.02,10.53,10.58,12.4,4.22,6.32,4.19,2.15,Talc
69.43,12.53,2.28,14.28,11.5,0.63,4.98,0.65,Basalt
74.84,13.9,8.45,12.91,5.19,6.19,3.74,1.74,Amphibolite
42.34,18.65,5.48,12.93,0.81,5.96,2.64,0.26,Mica
60.82,10.41,3.63,11.23,0.71,4.91,2.52,1.16,Talc
57.36,11.67,4.77,13.31,5.03,3.31,2.11,2.31,Dolomite
61.82,24.41,5.81,14.79,4.86,0.55,3.13,0.79,Rhyolite
34.79,17.36,12.76,11.19,8.64,3.37,3.4,1.17,Granite
55.98,13.81,5.18,9.83,7.31,0.68,3.18,2.24,Olivine
33.5,9.86,10.01,9.12,4.67,7.86,0.8,0.81,Peridotite
63.69,12.6,3.25,12.98,10.58,4.78,4.81,1.41,Amphibolite
31.49,20.19,5.15,8.33,3.38,3.99,3.98,2.15,Pyroxene
58.78,18.21,2.62,11.44,10.83,6.11,2.93,2.31,Talc
54.86,23.3,9.22,7.6,2.08,4.07,3.98,2.45,Syenite
71.76,9.57,1.05,13.31,8.26,0.57,1.77,0.21,Basalt
30.19,22.96,9.32,8.64,11.84,6.29,4.25,2.92,Slate
49.83,21.62,10.12,1.12,3.43,2.54,1.68,1.55,Slate
49.7,22.48,8.99,6.73,5.2,6.8,4.46,1.02,Gabbro
37.41,14.17,4.78,4.43,4.38,1.99,3.58,1.03,Chlorite
72.41,16.22,5.36,6.8,3.14,4.66,0.63,1.42,Feldspar
33.78,16.56,3.27,13.99,5.15,3.95,1.29,0.34,Amphibolite
73.12,12.67,13.06,6.78,4.49,6.0,2.17,1.88,Dolomite
51.61,8.9,13.2,4.81,1.51,4.58,3.5,0.83,Pyroxene
74.46,15.59,4.5,14.93,0.88,6.93,4.27,2.96,Amphibole
33.31,14.57,4.27,1.11,10.29,6.0,4.09,0.71,Olivine
35.02,12.76,2.49,1.64,1.35,3.5,2.38,1.29,Amphibolite
55.28,11.72,4.14,12.6,10.64,6.14,1.99,1.55,Talc
32.0,15.64,13.45,1.3,6.91,1.37,3.74,1.24,Mica
54.83,5.61,7.31,14.33,9.17,3.76,1.37,1.65,Marble
33.7,14.46,14.74,6.81,4.94,3.86,4.25,1.58,Granite
36.3,16.7,1.62,5.04,7.07,6.9,1.6,2.43,Quartz
32.13,17.51,7.13,11.8,2.73,1.18,2.56,0.41,Granite
75.15,13.02,9.82,2.66,6.88,7.92,3.35,2.27,Olivine
56.21,5.24,12.83,4.91,3.15,1.47,1.77,1.27,Quartz
50.64,10.3,11.39,2.51,6.1,2.46,0.65,1.02,Basalt
70.58,19.57,3.12,10.39,9.43,2.56,3.93,1.77,Amphibole
43.6,11.75,11.88,8.75,4.87,6.99,2.14,2.13,Basalt
39.05,11.55,6.81,14.25,1.12,7.36,2.1,2.9,Amphibole
57.43,10.3,14.45,10.26,4.27,7.19,3.52,1.57,Dolomite
47.4,24.44,12.94,10.03,2.5,7.51,4.5,0.72,Pyroxene
45.51,24.68,1.59,9.2,3.82,5.49,1.72,1.38,Andesite
47.33,9.0,8.96,10.87,3.48,4.48,0.7,2.12,Marble
53.46,21.17,11.47,4.56,5.12,2.68,4.8,0.69,Quartz
67.25,7.6,11.22,8.2,7.47,4.49,4.77,0.82,Chlorite
59.88,5.94,14.33,1.23,1.41,2.76,3.95,1.29,Pyroxene
51.3,10.71,11.52,14.58,5.98,2.85,1.37,0.58,Talc
52.79,8.8,9.59,8.5,11.41,6.64,3.05,2.21,Syenite
75.14,10.6,9.5,13.66,4.22,3.56,1.07,1.31,Chlorite
50.71,11.89,6.35,5.64,2.08,3.83,1.98,1.23,Marble
78.45,14.91,10.67,9.93,2.16,7.31,1.46,2.65,Gabbro
55.47,17.57,8.77,1.66,6.37,2.07,4.22,2.71,Quartz
55.34,7.63,11.64,7.87,0.89,3.5,4.34,2.96,Gabbro
37.77,14.21,2.72,12.96,0.83,7.7,0.65,1.88,Basalt
56.39,12.24,8.27,7.63,5.45,5.37,2.47,2.75,Syenite
40.51,22.19,10.99,3.58,1.04,6.73,1.47,1.36,Slate
46.62,7.26,5.97,14.56,4.9,7.24,3.42,2.56,Serpentine
48.05,23.05,14.99,4.21,10.35,5.85,4.69,2.16,Olivine
32.54,8.02,14.19,3.72,8.35,2.54,1.51,0.83,Feldspar
65.49,5.34,9.48,5.63,11.59,6.05,2.66,1.39,Rhyolite
45.86,8.34,10.49,11.07,9.09,6.08,4.23,0.25,Pyroxene
49.08,16.72,1.15,11.55,5.08,5.24,0.73,0.68,Basalt
58.7,17.74,9.99,8.95,4.1,6.12,4.3,0.97,Andesite
57.59,6.81,8.27,13.22,6.0,6.0,4.04,0.57,Feldspar
35.59,6.01,9.45,14.61,3.64,0.81,3.42,1.1,Marble
58.81,19.07,1.16,1.31,4.29,2.22,4.82,0.66,Basalt
32.7,10.53,2.6,3.41,4.31,2.56,2.43,0.57,Rhyolite
79.55,16.88,11.34,6.79,1.38,2.69,1.86,2.44,Chlorite
34.35,21.23,13.07,11.06,3.69,1.37,3.28,0.47,Marble
67.18,23.48,14.13,8.49,8.44,6.61,3.11,1.14,Marble
58.66,16.14,4.38,8.55,11.16,3.81,4.98,0.76,Amphibolite
